Publisher,Date,Concept Name,Geo,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Reach,Spends,Accrual Campaign Name,Campaign Name,Device,Engagements
Ventes,2023-11-08,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,470248,7274,N.A,N.A,N.A,N.A,N.A,241131,32733,Amz Jupiter 23, Wave3,,
Ventes,2023-11-08,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,246564,3732,N.A,N.A,N.A,N.A,N.A,128240,16794,Amz Jupiter 23, Wave3,,
Ventes,2023-11-08,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,262680,5136,N.A,N.A,N.A,N.A,N.A,133788,23112,Amz Jupiter 23, Wave3,,
Ventes,2023-11-08,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,224439,5264,N.A,N.A,N.A,N.A,N.A,118726,23688,Amz Jupiter 23, Wave3,,
Ventes,2023-11-08,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,407311,7708,N.A,N.A,N.A,N.A,N.A,207442,34686,Amz Jupiter 23, Wave3,,
Ventes,2023-11-08,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,220293,4970,N.A,N.A,N.A,N.A,N.A,115510,22365,Amz Jupiter 23, Wave3,,
Ventes,2023-11-08,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,494510,6249,N.A,N.A,N.A,N.A,N.A,250742,28121,Amz Jupiter 23, Wave3,,
Ventes,2023-11-08,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,405948,6804,N.A,N.A,N.A,N.A,N.A,205071,30618,Amz Jupiter 23, Wave3,,
Ventes,2023-11-08,OPS -SL Ananya,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,348386,5324,N.A,N.A,N.A,N.A,N.A,176318,23958,Amz Jupiter 23, Wave3,,
Ventes,2023-11-08,NTA -SL Ananya,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,182415,2976,N.A,N.A,N.A,N.A,N.A,93621,13392,Amz Jupiter 23, Wave3,,
Ventes,2023-11-08,OPS -SL Ananya,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,210919,4158,N.A,N.A,N.A,N.A,N.A,108446,18711,Amz Jupiter 23, Wave3,,
Ventes,2023-11-08,NTA -SL Ananya,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,266304,3992,N.A,N.A,N.A,N.A,N.A,138657,17964,Amz Jupiter 23, Wave3,,
Ventes,2023-11-09,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,457539,7482,N.A,N.A,N.A,N.A,N.A,236229,33669,Amz Jupiter 23, Wave3,,
Ventes,2023-11-09,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,236003,3874,N.A,N.A,N.A,N.A,N.A,126181,17433,Amz Jupiter 23, Wave3,,
Ventes,2023-11-09,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,148153,2751,N.A,N.A,N.A,N.A,N.A,72320,12380,Amz Jupiter 23, Wave3,,
Ventes,2023-11-09,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,174336,3861,N.A,N.A,N.A,N.A,N.A,83479,17375,Amz Jupiter 23, Wave3,,
Ventes,2023-11-09,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,305666,5161,N.A,N.A,N.A,N.A,N.A,154227,23225,Amz Jupiter 23, Wave3,,
Ventes,2023-11-09,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,176272,3610,N.A,N.A,N.A,N.A,N.A,94440,16245,Amz Jupiter 23, Wave3,,
Ventes,2023-11-09,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,278977,3997,N.A,N.A,N.A,N.A,N.A,144508,17987,Amz Jupiter 23, Wave3,,
Ventes,2023-11-09,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,324822,4902,N.A,N.A,N.A,N.A,N.A,165202,22059,Amz Jupiter 23, Wave3,,
Ventes,2023-11-09,OPS -SL Ananya,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,252343,3699,N.A,N.A,N.A,N.A,N.A,130004,16646,Amz Jupiter 23, Wave3,,
Ventes,2023-11-09,NTA -SL Ananya,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,169651,3044,N.A,N.A,N.A,N.A,N.A,91650,13698,Amz Jupiter 23, Wave3,,
Ventes,2023-11-09,OPS -SL Ananya,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,132261,2749,N.A,N.A,N.A,N.A,N.A,70948,12371,Amz Jupiter 23, Wave3,,
Ventes,2023-11-09,NTA -SL Ananya,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,131951,2599,N.A,N.A,N.A,N.A,N.A,67802,11696,Amz Jupiter 23, Wave3,,
